99510A|Broken Sword 2 - The Smoking Mirror|Broken Sword II: The Smoking Mirror||Point and Click,Adventure,|1||Revolution Software Ltd.|Virgin Interactive Entertainment (Europe) Ltd.|1997
99599A|Future Wars - Adventures In Time|Future Wars: Adventures In Time||Point and Click,Adventure,|1||Delphine Software International|Palace Software, Ltd.|1989
99717A|Let's Explore The Airport With Buzzy|Let's Explore The Airport With Buzzy||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
101310|Let's Explore The Farm With Buzzy|Let's Explore The Farm With Buzzy||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1995
101311|Let's Explore The Jungle With Buzzy|Let's Explore The Jungle With Buzzy||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1995
155482|Lighthouse - The Dark Being|Lighthouse: The Dark Being||Adventure,|||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1996
102091|Little Monster At School|Little Monster At School||Point and Click,Adventure,|||Brøderbund Software, Inc.|Philips Interactive Media, Inc.|1993
99742A|Loom|Loom||Point and Click,Adventure,|1||Lucasfilm Games|Lucasfilm Games|1990
100626|Lost Files of Sherlock Holmes - The Case of the Rose Tattoo, The|Lost Files of Sherlock Holmes - The Case of the Rose Tattoo, The||Point and Click,Adventure,|||Mythos Software, Inc.|Electronic Arts, Inc.|
100625|Lost Files of Sherlock Holmes - The Case of the Serrated Scalpel, The|Lost Files of Sherlock Holmes - The Case of the Serrated Scalpel, The||Point and Click,Adventure,|||Mythos Software, Inc.|Electronic Arts Ltd.|1992
100015|Lost In Time|Lost In Time||Point and Click,Adventure,|||Coktel Vision|Coktel Vision|1993
99756A|Lure Of The Temptress|Lure Of The Temptress||Point and Click,Adventure,|1||Revolution Software Ltd.|Virgin Games, Ltd.|1992
101880|Magic Tales - Liam Finds A Story|Magic Tales - Liam Finds A Story||Point and Click,Adventure,|||||
99763A|Manhunter - New York|Manhunter - New York||Point and Click,Adventure,|1||Evryware|Sierra On-Line, Inc.|1988
99765A|Manhunter 2 - San Francisco|Manhunter 2 - San Francisco||Point and Click,Adventure,|1||Evryware|Sierra|1989
99767A|Maniac Mansion|Maniac Mansion||Point and Click,Adventure,|1||Lucasfilm Games|Lucasfilm Games|1987
99777A|Maniac Mansion - Day Of The Tentacle|Maniac Mansion: Day of the Tentacle||Point and Click,Adventure,|1||LucasArts|LucasArts|1993
99778A|Mickey's Space Adventure|Mickey's Space Adventure||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1984
126588|Mission Asteroid|Hi-Res Adventure #0: Mission Asteroid||Adventure,|||On-Line Systems|On-Line Systems|1980
99847A|Mixed-up Fairy Tales|Mixed-up Fairy Tales||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1991
99779A|Monkey Island 2 - Lechuck's Revenge|Monkey Island 2 - Lechuck's Revenge||Point and Click,Adventure,|1||LucasArts|LucasArts|1991
99784A|Mortville Manor|Mortville Manor||Point and Click,Adventure,|1||Kyilkhor Creation|Pyramide Soft|1986
100475|Myst|Myst||Point and Click,Adventure,|1||Cyan, Inc.|Broderbund|1995
154259|Myst 3 - Exile|Myst 3 - Exile||Point and Click,Adventure,|1||Presto Studios|Ubisoft|2001
