Anima Games Bonus Collection;0;Action
Animal;0;Action
Animal Farm;0;Educational
Animal Game, The;0;Strategy
Animal Math;0;Educational
Animal Quest;0;Action
Animal Quest;0;Educational
Animal Quest;0;Strategy
Animal;0;Simulation
Animated Addition and Subtraction;0;Educational
Animated Alphabet, The;0;Educational
Animated Bugs;0;Educational
Animated Clock;0;Educational
Animated Math;0;Educational
Animated Memory Game, The;0;Strategy
Animated Money;0;Educational
Animated Multiplication and Division;0;Educational
Animated New Testament, The;0;Educational
Animated Old Testament, The;0;Strategy
Animated Shapes;0;Educational
Animated VGA Memory Game;0;Strategy
Animated Words;0;Educational
Animation Construction Kit 3-D;0;Adventure
Animation Creation;0;Educational
Animotive;0;Strategy
Anipaint;0;Educational
Annals of Rome;0;Strategy
Anna's Gram;0;Strategy
Annihilator;0;Action
Annihilator Tank;0;Action
Another 2-Player Pong Clone;0;Action
Another DG Game- I want my C64 back;0;Adventure
Another Lifeless Planet and Me With No Beer vA.3;0;Adventure
Another Lifeless Planet and Me With No Beer vC.1;0;Adventure
Another Lifeless Planet and Me With No Beer vC.2;0;Adventure
Another Pool;0;Sports
Another World;0;Action
Another World Memory;0;Strategy
Anstoss;0;Sports
ANSTOSS- World Cup Edition;0;Strategy
Antagony;0;Action
Ant Attack!;0;Action
Ant Attack PC;0;Action
Antes;0;Adventure
Ante-Up at the Friday Night Poker Club;0;Strategy
Ant Farm;0;Action
Anthill;0;Action
Anthill Volume 1;0;Action
Anthill Volume 2;0;Action
Anti-Ballistic-Missile;0;Action
AntiC;0;Strategy
Antiquity;0;Strategy
Antitetris;0;Action
AntitronB;0;Action
Antixonix;0;Action
Antkill;0;Action
Ant-Life;0;Simulation
Antman;0;Action
Ant Man;0;Action
Ant Run;0;Strategy
Ants;0;Action
Ants- The Exodus;0;Action
An Underground Adventure;0;Adventure
Anvil of DawnE95;0;Action
Any Sports Team Management;0;Strategy
Anyworld 1;0;Action
Aoki O-kami to Shiroki Mejika- Gencho- Hishi;0;Strategy
A-Pac;0;Action
Apachacha;0;Action
Apache Longbow;0;Action
Apache Strike;0;Action
APBA Baseball Master Game;0;Strategy
APB;0;Action
APBA Football;0;Sports
APBA Major League Players Baseball- Master Edition;0;Sports
APBA Pro Hockey;0;Sports
Apes;0;Action
Apocalypse Abyss;0;Strategy
Apocalypse Cow;0;Action
Apocalyptic Quest;0;Adventure
Apollo 18- Mission to the Moon;0;Simulation
Apollo Mission Simulator;0;Simulation
Appendix;0;Action
AppleMen;0;Action
Apple Panic;0;Action
Apples and Oranges;0;Strategy
Apprentice;0;Adventure
Aprends-moi a lire 1;0;Educational
