5497AA|Earthworm Jim 3d|Earthworm Jim 3D||Action,Platform,|1||VIS entertainment ltd|Rockstar Games, Inc.|1999
5681AA|Ecw Hardcore Revolution|ECW Hardcore Revolution||Sports,Sports / Wrestling,|4|Coop|Acclaim Entertainment|Acclaim Entertainment|2000
5729AA|Sesame Street - Elmo's Letter Adventure|Elmo's Letter Adventure||Educational,Adventure,|1||Realtime Associates|Realtime Associates|1999
5736AA|Sesame Street - Elmo's Number Journey|Elmo's Number Journey||Role playing games,Adventure,Educational,|1||Realtime Associates|Realtime Associates|1999
5472AA|Excitebike 64|Excitebike 64||Sports,Race, Driving,Race, Driving / Motorcycle,|4||Nintendo|Left Field|2000
5448AA|Extreme-g|Extreme-G||Race, Driving,|4||Probe Entertainment Ltd.|Acclaim Entertainment|1997
5539AA|Extreme-g 2|Extreme-G 2|Extreme-G XG2|Race, Driving,|4||Probe|Acclaim Entertainment|1998
71703A|F-1 World Grand Prix|F-1 World Grand Prix||Race, Driving,|2||Paradigm Entertainment|Video System Co., Ltd.|1998
5520AA|F-1 World Grand Prix 2|F-1 World Grand Prix II||Race, Driving,|2||Paradigm Entertainment|Paradigm Entertainment - Video System|1999
5418AA|F-zero X|F-Zero X||Race, Driving,|4||Nintendo|Nintendo|1998
71702A|F1 Pole Position 64|F1 Pole Position 64|F-1 Pole Position 64|Various,Race, Driving,|1||Human Entertainment|Human - Ubisoft|1997
5503AA|F1 Racing Championship|F1 Racing Championship||Race, Driving,|2||Video System|Ubisoft - Video System|2000
59860A|Famista 64|Famista 64||Sports,Sports / Baseball,|4||Namco|Namco|1997
71704A|Fifa - Road To World Cup 98|FIFA: Road to World Cup 98||Sports,Sports,Sports / Soccer,|4||Electronic Arts|Electronic Arts|1997
5462AA|Fifa 99|FIFA 99||Sports,Sports / Soccer,|4||EA Sports|Electronic Arts|1998
5563AA|Fifa Soccer 64|FIFA Soccer 64||Simulation,Sports,Sports / Soccer,|4|Coop|EA Sports|EA Sports|1997
5615AA|Fighter Destiny 2|Fighter Destiny 2||Fight,|2||Imagineer|Southpeak Interactive|1999
5565AA|Fighters Destiny|Fighters Destiny|Fighter's Destiny|Fight,Action,|2||Imagineer|Imagineer - Genki - Ocean|1998
5513AA|Fighting Force 64|Fighting Force 64||Fight,Beat'em Up,|2||Core Design|Crave Entertainment|1999
5633AA|Flying Dragon|Flying Dragon||Shoot'em Up,Action,Fight,|2||Natsume|Natsume|1997
71708A|Forsaken 64|Forsaken 64||Action,Shooter,Shooter / 1st person,|4||Iguana Entertainment, Inc.|Acclaim Entertainment|1998
5657AA|Fox Sports College Hoops 99|Fox Sports College Hoops '99||Sports,Sports / Basketball,|2||Z-Axis|Fox Interactive|1998
59949A|Frogger 2 - Swampy's Revenge|Frogger 2||Action,|4||Blitz Games|Hasbro Interactive, Inc.|1999
