150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
65215A|Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal|Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal|Bikkuri Nekketsu Shinkiroku! - Dokodemo Kin Medal|Sports,|2||Million|Tecmo|1993
3568AA|Bill And Ted's Excellent Adventure|Bill & Ted's Excellent Adventure||Adventure,|1||LJN|LJN|1991
65216A|Bill Elliott's Nascar Fast Tracks|Bill Elliott's NASCAR Fast Tracks||Race, Driving,|2||Distinctive Software, Inc.|Konami, Inc.|1991
65217A|Bionic Battler|Bionic Battler||Action|1||Copya System Ltd.|Electro Brain Corp.|1990
3120AA|Bionic Commando|Bionic Commando||Shoot'em Up,Action,|1||Capcom Co., Ltd.|Capcom Co., Ltd.|1987
65218A|Bishoujo Senshi Sailor Moon|Bishoujo Senshi Sailor Moon||Adventure,|1||Arc System Works|Angel (Bandai)|1992
65219A|Bishoujo Senshi Sailor Moon R|Bishoujo Senshi Sailor Moon R||Adventure,|1||Angel Studios|Angel (Bandai)|1994
3702AA|Black Bass - Lure Fishing, The|Black Bass : Lure Fishing||Sports,|1||Hot-b|Hot-b|1992
109043|Black Forest Tale|Black Forest Tale||Action,Arcade|||Sachen|Sachen|1993
3446AA|Blades Of Steel|Blades of Steel||Action,Hockey|1||Konami Industry Co. Ltd.|Ultra Software Corporation|1991
3569AA|Blast Master Boy|Blaster Master Boy||Various,|1||Aicom Corporation|Sunsoft|1991
167224|BLEM!|BLEM!|||||||
65220A|Block Kuzushi Gb|Block Kuzushi GB||,Breakout|||OeRSTED|Pow|1995
3623AA|Blodia|Blodia||Puzzle-Game,|2||Tonkin House|Tonkinhouse|1990
65221A|Bo Jackson - Two Games In One|Bo Jackson : Two Games in One||Sports,|1||Equilibrium|THQ|1991
65222A|Boggle Plus|Boggle Plus||Puzzle-Game,|1||Sculptured Software, Inc.|Parker Brothers|1992
109047|Bomb Disposer|Bomb Disposer||,Puzzle|||||
3561AA|Bomb Jack|Bomb Jack||Action,Arcade|4||Tehkan Ltd.|Infogrames Europe SA|1988
65223A|Bomber Man Collection|Bomber Man Collection|Bomberman Collection|,Arcade|||Hudson|Hudson|1996
65225A|Bomber Man Gb 3|Bomber Man GB 3|Bomberman GB 3|Puzzle-Game,Action,|1||Hudson Soft Company, Ltd.|Hudson Soft Company, Ltd.|1996
65224A|Bomber Man Gb 2|Bomberman GB||Action,|1||Hudson|Nintendo|1995
3476AA|B.c. Kid|Bonk's Adventure|B.C. Kid 2|Action,Platform|1||Red Company|Hudson|1992
65199A|B.c. Kid 2|Bonk's Revenge||Platform,|1||AI|Hudson|1994
65226A|Booby Boys|Booby Boys||Action,Arcade|1||Nichibutsu|Nichibutsu|1993
155375|Books Of The Bible|Books Of The Bible|||||||
3598AA|Boomer's Adventure In Asmik World|Boomer's Adventure in ASMIK World||Puzzle-Game,Strategy,Action,|2||Graphic Research Co., Ltd.|Asmik Corp. of America|1990
3219AA|Boulder Dash|Boulder Dash||Puzzle-Game,Action,|2||Victor Musical Industries|Nintendo of Europe GmbH|1990
65227A|Boxing|Boxing||,Boxing|||Activision, Inc.|Activision, Inc.|1980
3222AA|Boxxle|Boxxle||Puzzle-Game,Strategy,|1||Atelier Double Co. Ltd.|FCI|1989
3480AA|Boxxle 2|Boxxle 2||Puzzle-Game,|1||Thinking Rabbit|Pony Canyon|1990
3299AA|Brain Drain|Brain Drain||Puzzle-Game,|1||Visual Impact|Acclaim Entertainment, Inc.|1998
3679AA|Brainbender|Brainbender||Various,|1||Electro Brain|Gremlin|2009
3115AA|Bram Stoker's Dracula|Bram Stoker's Dracula||Action|1||Psygnosis Limited|Sony Imagesoft|1993
3526AA|Breakthru!|BreakThru!||Puzzle-Game,|2||Zoo Corporation|Spectrum Holobyte|1995
3059AA|Bubble Bobble|Bubble Bobble||Fight,Action,|1||Taito Corporation|Taito Corporation|1991
3664AA|Bubble Bobble - Part 2|Bubble Bobble : Part 2||Action,|1||Taito|Taito|1993
3327AA|Bubble Ghost|Bubble Ghost||Puzzle-Game,Action,|1||ERE Informatique|FCI|1990
65228A|Bubsy 2|Bubsy II||Action|1||Images Software Ltd.|Accolade|1994
65229A|Bugs Bunny Collection|Bugs Bunny Collection||Action,Arcade|||Kotobuki System|Kemco|1997
3246AA|Burai Fighter Deluxe|Burai Fighter Deluxe||Puzzle-Game,Action,Shoot'em Up,|1||KID Corp.|Taxan USA Corp.|1999
3491AA|Burgertime Deluxe|BurgerTime Deluxe|Burger Time Deluxe|Various,Action,|2||Namco Networks America Inc.|Namco Networks America Inc.|1992
65230A|Burning Paper|Burning Paper||Puzzle,|1||Pixel|LOZC G. Amusements|1993
3333AA|Bust-a-move 2 Arcade Edition|Bust-A-Move 2 Arcade Edition||Puzzle-Game,|1||Acclaim Entertainment|Acclaim Entertainment|1997
65231A|Bust-a-move 3 Dx|Bust-A-Move 3 DX||Puzzle-Game,|1||Taito Corporation|Acclaim Entertainment, Inc.|1998
153150|Bust-a-move 4|Bust-a-move 4||Puzzle-Game,|||Taito Corporation|Taito Corporation|1998
65232A|Buster Bros. / Pang|Buster Bros.||Action,|2||Mitchell Corporation|Mitchell Corporation|1989
65234A|Caesars Palace|Caesars Palace||Various,Simulation,|1||Magnin & Associates|Arcadia Systems, Inc.|1991
65235A|Capcom Quiz - Hatena No Daibouken|Capcom Quiz - Hatena no Daibouken|||||Capcom||1990
3537AA|Captain America And The Avengers|Captain America and the Avengers||Fight,Action,|1||Data East Corporation|Mindscape, Inc.|1991
109048|Captain Knick-knack|Captain Knick-knack||,Shooter|||Sachen||
65236A|Captain Tsubasa J - Zenkoku Seiha E No Chousen|Captain Tsubasa J - Zenkoku Seiha e no Chousen||Puzzle-Game,|||Bandai|Bandai|1995
66171A|Captain Tsubasa Vs|Captain Tsubasa VS||Sports / Soccer,Sports,|||Graphic Research|Tecmo|1992
66174A|Card Game|Card Game||Casino,|2||Marionette|Coconuts Japan|1990
3699AA|Casino Funpak|Casino FunPak||Strategy,|1||Beam Software Pty., Ltd.|Interplay Productions, Inc.|1995
3098AA|Casper|Casper||Simulation,Adventure,|1||Funcom Oslo A/S|Interplay Productions, Inc.|1996
68933A|Kyoro-chan Land|Castelian|Kyorochan Land|Platform,|1||Bits Studios|Triffix|1991
66198A|Castle Quest|Castle Quest||Role playing games,|1||Hudson Soft Company, Ltd.|Hudson Soft Company, Ltd.|1993
3021AA|Castlevania - The Adventure|Castlevania : The Adventure||Platform,|1||Konami|Konami|1989
3048AA|Castlevania 2 - Belmont's Revenge|Castlevania II : Belmont's Revenge||Action,|1||Konami|Konami|1991
