3869AA|007 - Nightfire|007 : Nightfire||Sports,Shooter / 1st person,Shooter,|2||JV Games|Electronic Arts|2003
154986|Advance Play Edition - Golf|Advance Play Edition - Golf|||||||
154985|Advance Play Edition - Ice Climber|Advance Play Edition - Ice Climber|||||||
154984|Advance Play Edition - Mario Bros.|Advance Play Edition - Mario Bros.|||||||
154983|Advance Play Edition - Pinball|Advance Play Edition - Pinball|||||||
154982|Advance Play Edition - Soccer|Advance Play Edition - Soccer|||||||
154981|Advance Play Edition - Super Mario Bros.|Advance Play Edition - Super Mario Bros.|||||||
154980|Advance Play Edition - Tennis|Advance Play Edition - Tennis|||||||
154979|Advance Play Edition - Yoshi's Cookie|Advance Play Edition - Yoshi's Cookie|||||||
3782AA|Advance Wars|Advance Wars|Advance GT2|Strategy,|4||Intelligent Games|Nintendo|2001
3773AA|Advance Wars 2 - Black Hole Rising|Advance Wars 2 : Black Hole Rising||Strategy,|4||Intelligent Systems|Nintendo|2003
72008A|Adventure Of Tokyo Disney Sea|Adventure of Tokyo Disney Sea||,Adventure|||||
83921A|Adventures of Jimmy Neutron - Boy Genius vs. Jimmy Negatron, The|The Adventures of Jimmy Neutron Boy Genius vs. Jim|Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The|,Platform|||Human Soft|THQ|2002
4441AA|Aero The Acro-bat|Aero the Acro-Bat||Action,Platform|1||Metro3D|Atomic Planet|2002
4518AA|Agassi Tennis Generation 2002|Agassi Tennis Generation 2002||Sports,|||Cryo Interactive|Cryo Interactive|2002
72009A|Agent Hugo - Roborumble|Agent Hugo - Roborumble|||1|||ITE Media|2007
4262AA|Aggressive Inline|Aggressive Inline||Shooter,Sports,|2||Full Fat|Acclaim Entertainment|2002
4590AA|Deadly Skies|AirForce Delta Storm||Shooter,|||Mobile 21|Konami|2002
72010A|Aka-chan Doubutsu Sono|Aka-chan Doubutsuen|Aka-chan Doubutsuen Sono|,Adventure|||||
3933AA|Aladdin|Aladdin|Akagi|Puzzle-Game,Platform,|1||Capcom|Capcom|2004
72011A|Aleck Bordon Adventure - Tower And Shaft Advance|Aleck Bordon Adventure - Tower & Shaft Advance||Action,Platform|1||Aruze|Aruze|
4297AA|Alex Rider - Stormbreaker|Alex Rider : Stormbreaker|Alex Rider Stormbreaker|Action|1||Razorback Developments|THQ|2006
84369A|Pippa Funnell - Stable Adventure|Pippa Funnell - Stable Adventure||Simulation,|1||Independent Arts Software|Ubisoft|2005
4149AA|Alien Hominid|Alien Hominid|Alien Homonid|Shooter,Action,|1||Zoo Digital|Zoo Digital|2006
4451AA|Alienators - Evolution Continues|Alienators : Evolution Continues||Action|1||Activision|Activision|2001
4523AA|Razbitume ! Restez Branchés !|All Grown Up! : Express Yourself||Adventure,|2||THQ|Altron|2005
4447AA|All-star Baseball 2003|All-Star Baseball 2003||Sports,|1||Software Creations|Acclaim Entertainment|2002
4595AA|All-star Baseball 2004|All-Star Baseball 2004||Sports,|||Acclaim Entertainment|Acclaim Entertainment|2003
4139AA|Altered Beast - Guardian Of The Realms|Altered Beast : Guardian of the Realms||Action|||THQ|Sega|2002
4601AA|American Bass Challenge|American Bass Challenge||Shooter,Sports,|4||Starfish|Ubisoft|2001
4372AA|American Dragon - Jake Long|American Dragon : Jake Long||Platform,|1||Buena Vista Interactive|Wayforward Technologies|2006
4720AA|Pop Idol|American Idol||Various,|||Hothouse|Codemasters|2003
4383AA|Fievel Et Le Trésor Perdu|An American Tail: Fievel's Gold Rush||Platform,|1||Hokus Pokus|Swing! Entertainement|2002
83140A|Angel Collection - Mezase! Gakuen No Fashion Leader|Angel Collection - Mezase! Gakuen no Fashion Leade||Strategy,|||MTO|MTO|
83139A|Angel Collection 2 - Pichimo Ni Narou|Angel Collection 2 - Pichimo ni Narou||,Adventure|||||
83141A|Angelique|Angelique||Strategy,||||Koei|
97398A|Anguna - Warriors Of Virtue|Anguna||Adventure,|||Nathan Tolbert and Chris Hildenbrand|Nathan Tolbert|2008
83142A|Animal Mania - Dokidoki Aishou Check|Animal Mania - Dokidoki Aishou Check|||||||
83143A|Animal Snap - Rescue Them 2 By 2|Animal Snap - Rescue Them 2 by 2||,Puzzle|||||
83144A|Animal Yokochou - Doki Doki Kyushutsu Daisakusen! No Maki|Animal Yokochou - Doki Doki Kyushutsu Daisakusen! |||||||
83145A|Animal Yokochou - Doki Doki Shinkyuu Shiken! No Maki|Animal Yokochou - Doki Doki Shinkyuu Shiken! no Ma|||||||
4180AA|Animaniacs - Lights Camera Action !|Animaniacs : Lights Camera Action !|Animaniacs - Lights, Camera, Action!|Platform,|2||Ignition Entertainment|Warthog|2005
108775|Another World|Another World||Action / Adventure,Action,|||Magic Productions|Foxysofts|2005
83150A|Ao-zora To Nakama-tachi - Yume No Bouken|Ao-Zora to Nakama-tachi - Yume no Bouken|||||||
83151A|Archer Maclean's 3d Pool|Archer Maclean's 3D Pool||,Pool|||||
4512AA|Arctic Tale|Arctic Tale||Action,|2||Atomic Planet|Destination Software|2007
4308AA|Army Men - Operation Green|Army Men : Operation Green||Shooter,|1||Panasonic|Panasonic|2002
83155A|Army Men - Turf Wars|Army Men : Turf Wars|||4||Mobius Entertainment|3DO|2002
4303AA|Army Men Advance|Army Men Advance||Shooter,|1||Panasonic|DC Studios|2001
4228AA|Le Tour Du Monde En 80 Jours|Around the World in 80 Days|||1||Hip Interactive|Saffire|2004
3887AA|Arthur Et Les Minimoys|Arthur and the Invisibles||Adventure,|1||Nintendo|Atari|2006
83161A|Ashita No Joe - Makka Ni Moeagare!|Ashita no Joe - Makka ni Moeagare!||,Boxing|||||
3913AA|Astérix And Obélix - Paf ! Par Toutatis !|Astérix And Obélix - Paf ! Par Toutatis !|||2||Infogrames|Bit Managers|2002
3817AA|Astérix And Obélix Xxl|Astérix & Obélix XXL||Various,|2||Velez & Dubail|Atari|2004
3935AA|Astro Boy - Omega Factor|Astro Boy : Omega Factor||Various,|1||Sega|THQ|2005
4257AA|Atari Anniversary|Atari Anniversary||Compilation,|2||Atari|Infogrames|2002
3978AA|Atlantide - L'empire Perdu|Atlantis: The Lost Empire|||1||THQ|THQ|2001
4377AA|Atomic Betty|Atomic Betty||Fight,Action,|1||Bandai Namco|Atari|2006
83173A|Atv - Thunder Ridge Riders|ATV - Thunder Ridge Riders|||||SkyRiver Studios|DSI Games|2006
4547AA|Atv Quad Power Racing|ATV Quad Power Racing||,Racing|||Acclaim Entertainment|Acclaim Entertainment|2002
3861AA|Avatar - Le Dernier Maître De L'air|Avatar : The Last Airbender||Adventure,|1||Studio Oz|THQ|2006
3906AA|Avatar - Le Dernier Maître De L'air - Le Royaume De La Terre En Feu|Avatar : The Last Airbender, The Burning Earth|||1||THQ|THQ|2007
83180A|Azumanga Daiou Advance|Azumanga Daiou Advance|Azumanga Daioh Advance|,Cards|||||
4457AA|Babar - A La Rescousse|Babar: To The Rescue||Platform,|1||Sirius Games|The Game Factory|2006
4031AA|Back To Stone|Back to Stone||Puzzle-Game,Action,|1||Neko Entertainment|Hidden Floor|2006
4316AA|Back Track|Back Track|Backtrack|Shooter,|||Telegames|Telegames|2001
3733AA|Backyard Baseball|Backyard Baseball||Sports,|||Humongous Entertainment|Atari|2002
3734AA|Backyard Baseball 2006|Backyard Baseball 2006||Sports,|||Humongous Entertainment|Atari|2005
4651AA|Backyard Basketball|Backyard Basketball|Backyard Baseball|Sports,|2||Humongous Entertainment|Atari|2004
4688AA|Backyard Football|Backyard Football||Sports,|||Humongous Entertainment|Atari|2002
4673AA|Backyard Football 2006|Backyard Football 2006||Sports,|||Humongous Entertainment|Atari|2005
4466AA|Backyard Hockey|Backyard Hockey||Role playing games,Sports,|2||Mistic Software|Atari|2003
83183A|Backyard Skateboarding|Backyard Skateboarding||Sports,|||Atari|Humongous Entertainment|2005
4707AA|Backyard Baseball 2007|Backyard Sports : Baseball 2007|||||Humongous Entertainment|Humongous Entertainment|2006
4589AA|Backyard Basketball 2007|Backyard Sports : Basketball 2007||Sports,|2||Humongous Entertainment|Atari|2006
4653AA|Backyard Football 2007|Backyard Sports : Football 2007||Sports,|||Humongous Entertainment|Atari|2006
83191A|Bakuten Shoot Beyblade - Gekitou! Saikyou Blader|Bakuten Shoot Beyblade - Gekitou! Saikyou Blader|Bakuten Shoot Beyblade - Gekitou! Saikyou Blade|,Adventure|||||
83188A|Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle!! Kouryuu No Shou - Daichi Hen|Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle|||||||
83189A|Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle!! Seiryuu No Shou - Takao Hen|Bakuten Shoot Beyblade 2002 - Gekisen! Team Battle|||||||
83190A|Bakuten Shoot Beyblade 2002 - Ikuze! Bakutou! Chou Jiryoku Battle!!|Bakuten Shoot Beyblade 2002 - Ikuze! Bakutou! Chou|||||||
3826AA|Baldur's Gate - Dark Alliance|Baldur's Gate : Dark Alliance||Action,Adventure|1||Ubisoft|Destination Software|2004
4109AA|Ecks Vs. Sever 2 - Ballistic|Ballistic: Ecks Vs. Sever||,FPS|2||Bam!|Crawfish Interactive|2002
4100AA|Banjo Pilot|Banjo Pilot||Puzzle-Game,Race, Driving,|4||Rareware|THQ|2005
3914AA|Banjo-kazooie - La Revanche De Grunty|Banjo-Kazooie: Grunty's Revenge||Platform,|1||Rareware|THQ|2003
4168AA|Barbie As The Princess And The Pauper|Barbie as the Princess and the Pauper||,Puzzle|1||Wayforward Technologies|Vivendi Universal Games|2004
4101AA|Barbie Et Le Cheval Magique|Barbie and the Magic of Pegasus||Platform,|1||Wayforward Technologies|Vivendi Universal Games|2005
4302AA|Barbie Princesse De L'ile Merveilleuse|Barbie as The Island Princess||Casual Game,|||Activision|Activision|2007
4204AA|Barbie Groovy Games|Barbie Groovy Games||Sports,|2||Dice|Vivendi Universal Games|
4486AA|Barbie Horse Adventures - The Big Race|Barbie Horse Adventures : Blue Ribbon Race|||2||Mobius|Vivendi Universal Games|2003
4162AA|Barbie Au Bal Des 12 Princesses|Barbie in the 12 Dancing Princesses||Platform,|1||Wayforward Technologies|Activision|2006
83207A|Barbie Superpack|Barbie Superpack||,Compilation|||||
3997AA|La Ferme En Folie|Barnyard||Adventure,Casual Game,|1||THQ|Halfbrick|2007
78323A|Baseball Advance|Baseball Advance||Sports,|1||Smilebit|Sega|2002
